,changepoint_prior_scale,changepoint_range,daily_seasonality,growth,holidays_prior_scale,interval_width,n_changepoints,seasonality_mode,seasonality_prior_scale,uncertainty_samples,weekly_seasonality,yearly_seasonality,sku,loss,loss_function,training_time
0,0.11841438524197828,0.8109723404027778,False,flat,1.8178574558263505,0.9000441689604505,5,multiplicative,24.555889062592286,1000,False,False,PSD25NRZYY2N,2.8762049674987793,custom,189.40862107276917
1,0.17109000066875046,0.7850953602614296,False,flat,1.460350928887431,0.9527625427424664,20,multiplicative,20.11097452867054,2000,False,True,PSD25NRZYY2N,3.962054491043091,custom,189.40862107276917
2,0.24799846932318598,0.8965580679443036,False,flat,2.457035869982594,0.8535475060102699,20,additive,26.358571512328066,2000,True,False,PSD25NRZYY2N,2.900702476501465,custom,189.40862107276917
3,0.06890432695629418,0.8912151464599027,False,flat,2.3744911305105854,0.905169059728666,5,additive,12.675737975500939,2000,True,True,PSD25NRZYY2N,3.791667938232422,custom,189.40862107276917
4,0.22427738266941366,0.8948597696257774,False,linear,0.748276410523782,0.8752110392375019,10,multiplicative,27.6884074639874,2000,True,True,PSD25NRZYY2N,2.754603862762451,custom,189.40862107276917
5,0.21060981648207272,0.7442887541103571,False,linear,2.077291448417511,0.9887975956879012,20,multiplicative,16.324576363397938,2000,True,False,PSD25NRZYY2N,2.8836631774902344,custom,189.40862107276917
6,0.05605511930797147,0.7838357205649806,False,linear,2.478032176856911,0.9596973894840467,15,multiplicative,27.8498509591278,2000,True,True,PSD25NRZYY2N,2.847888231277466,custom,189.40862107276917
7,0.1691894653024139,0.8118648022895242,False,linear,0.8700212073008466,0.825584441147356,5,multiplicative,25.980002367321426,1000,False,True,PSD25NRZYY2N,2.881138563156128,custom,189.40862107276917
8,0.1582390100460609,0.7544515584450732,False,flat,0.7630755748127604,0.9209094357997796,20,additive,29.251168750960627,1000,True,False,PSD25NRZYY2N,2.900702476501465,custom,189.40862107276917
9,0.15014272099558046,0.8857304801246251,False,linear,1.277353074209323,0.8584237223794646,20,additive,17.107609932155334,2000,True,False,PSD25NRZYY2N,2.8842291831970215,custom,189.40862107276917
